"country","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"AT",0.00435872490958882,0.00280511999131954,0.00319352122088686,0.00418610214089224,0.00388401229567321,0.00340929968175759,0.00405663506436979,0.00349561106610589,0.00366823383480247,0.00271880860697125
"BE",0.00364198066517061,0.00408793748131394,0.00471970963751701,0.00408793748131394,0.00490552497757673,0.00375346986920644,0.00449673122944534,0.00379063293721838,0.00453389429745728,0.00275006703288393
"BG",0.00127272727272727,0.00109090909090909,0.00136363636363636,0.00127272727272727,0.001,0.000727272727272727,0.000727272727272727,0.001,0.001,0.000545454545454545
"BY",0.0266457680250784,0.0203761755485893,0.0297805642633229,0.0250783699059561,0.0141065830721003,0.00783699059561128,0.0141065830721003,0.0203761755485893,0.0188087774294671,0.00783699059561128
"CH",0.00114664968135983,0.00140725188166888,0.0019805767223488,0.00114664968135983,0.00161573364191612,0.00104240880123621,0.00171997452203974,0.00177209496210155,0.00156361320185431,0.000938167921112587
"CY",0.0025218262435199,0.00248179725552752,0.00249180450252562,0.00265192045449513,0.00269695306598656,0.002531833490518,0.00246178276153133,0.00274198567747799,0.00257686610200942,0.00163618488418851
"CZ",0.00543321245154307,0.0061762158637199,0.00561896330458728,0.00594402729741464,0.00571183873110938,0.00534033702502097,0.00455089589958308,0.00464377132610519,0.00371501706088415,0.00218257252326944
"DE",0.00175587119430596,0.00219483899288245,0.00219483899288245,0.00263380679145894,0.0043896779857649,0.00219483899288245,0.00351174238861192,0.00307277459003543,0.00395071018718841,0.00087793559715298
"DK",0.0053584099608257,0.00554265328326096,0.00565012855468154,0.0050052769261581,0.00632568740361085,0.00640245545462555,0.00750791538923715,0.0096574208176486,0.00893580113811047,0.00399193865276413
"EE",0.00294933760285062,0.00294933760285062,0.00263333714540234,0.00368667200356328,0.00300200434575867,0.00279133737412648,0.00305467108866672,0.00321267131739086,0.00300200434575867,0.00126400182979312
"ES",0.00251456753524318,0.00248678225861066,0.00275074238661961,0.0028410445356753,0.00288272245062409,0.00313973625947491,0.00311195098284239,0.0032300384085306,0.00330644791927004,0.00202137887501593
"FI",0.00664641420111605,0.00634399204511904,0.00681824497156889,0.00681137174075078,0.00679762527911455,0.00668078035520661,0.00706568128102099,0.00631649912184658,0.00615841481302997,0.00369779818014523
"FR",0.00311135656257327,0.0034105254628207,0.00323102412267224,0.00526537264435476,0.00526537264435476,0.00646204824534448,0.00825706164682906,0.0080775603066806,0.00735955494608677,0.0050858713042063
"GB",0.00139130434782609,0.00104347826086957,0.000869565217391304,0.00139130434782609,0.00191304347826087,0.00191304347826087,0.00121739130434783,0.00295652173913043,0.00191304347826087,0.000521739130434783
"GR",0.0012807056399195,0.00155032787990255,0.00121330007992373,0.00256141127983899,0.00188735567988136,0.00242660015984747,0.00316806131980086,0.00337027799978815,0.00229178903985594,0.00148292231990679
"HR",0.00619836575889357,0.00619836575889357,0.00587637273245754,0.00692285006837464,0.0065203587853296,0.00732534135141967,0.00813032391750975,0.00965979079308089,0.00796932740429173,0.00386391631723236
"HU",0.00313195304391962,0.00366379412684937,0.00449110247807342,0.00446155575124399,0.00480134310978244,0.00586502527564193,0.00647073317564525,0.0066184668097924,0.00756396206833418,0.00363424740001994
"IE",0.00113576256721281,0.00181722010754049,0.00136291508065537,0.00136291508065537,0.000908610053770245,0.00227152513442561,0.00272583016131074,0.00113576256721281,0.00181722010754049,0.000908610053770245
"IS",0.0109086998959518,0.00654521993757107,0.00581797327784095,0.0036362332986506,0.00509072661811083,0.0036362332986506,0.00436347995838072,0.00509072661811083,0.00218173997919036,0.00509072661811083
"IT",0.00169985429820301,0.00283309049700502,NA,0.00113323619880201,0.00283309049700502,0.00283309049700502,0.00339970859640602,0.00226647239760401,0.00566618099401003,0.00283309049700502
"LT",0.00300751879699248,0.00150375939849624,0.00451127819548872,0.00451127819548872,0.00451127819548872,0.00300751879699248,0.00300751879699248,0.0105263157894737,0.00601503759398496,0.00150375939849624
"LU",0.00439035216092168,0.00461549842558433,0.0041877205227253,0.00427777902859036,0.00499824707551084,0.00441286678738795,0.00542602497836987,0.00551608348423493,0.00526842259310602,0.00357982560813614
"LV",0.000976250988491217,0.000643910226451654,0.00076853801221649,0.000830851905098908,0.000955479690863745,0.00118396396476594,0.00141244823866814,0.00118396396476594,0.00118396396476594,0.000872394500353854
"MT",0.00993487834527237,0.0101691915137929,0.011012718920467,0.0101691915137929,0.0097005651767518,0.0100754662463847,0.00955997727563945,0.0104972299497218,0.00974742781045591,0.00473312600411561
"NL",0.0031543964400383,0.00349236748718526,0.00383033853433223,0.002929082408607,0.00473159466005746,0.00450628062862615,0.00563285078578268,0.00337971047146961,0.00405565256576353,0.00270376837717569
"NO",0.00592481598849865,0.00595316439035749,0.00615160320336941,0.00600986119407518,0.00462078950299177,0.00481922831600368,0.00447904749369754,0.00515940913830983,0.00481922831600368,0.00232456895242531
"PL",0.00132961884259845,0.00132961884259845,0.00199442826389768,0.00110801570216538,0.00155122198303153,0.000886412561732303,0.00221603140433076,0.00310244396606306,0.00199442826389768,0.00155122198303153
"PT",0.00105101140140922,0.00183926995246614,0.000788258551056915,0.000919634976233068,0.00105101140140922,0.00118238782658537,0.000919634976233068,0.000919634976233068,0.000788258551056915,0.000394129275528458
"RO",0.00513477940131896,0.00718869116184655,0.00616173528158276,0.0102695588026379,0.00821564704211034,0.00821564704211034,0.00616173528158276,0.0112965146829017,0.00821564704211034,0.00102695588026379
"RU",0.00275047887801894,0.00231290269287956,0.00350060948111501,0.00250043534365358,0.00231290269287956,0.00256294622724492,0.00256294622724492,0.00275047887801894,0.00181281562414885,0.00150026120619215
"SE",0.00903949770672841,0.00868326134390168,0.00868326134390168,0.00814890679966158,0.00703566816582803,0.00752549316471479,0.00801531816360155,0.00739190452865476,0.00761455225542147,0.00489824998886761
"SI",0.00033349415311609,0.000352282556108546,0.000441527470322711,0.00038046516059723,0.000436830369574597,0.000469710074811395,0.000587137593514244,0.000568349190521788,0.000511983981544421,0.000267734742642495
"SK",0.000895706208363657,0.000447853104181828,0.00123159603650003,0.0007837429323182,0.0007837429323182,0.00100766948440911,0.000559816380227285,0.000671779656272743,0.00145552258859094,0.000447853104181828
"TR",0.000742997250910172,0.00118879560145627,0.000928746563637715,0.00100304628872873,0.000965896426183223,0.00122594546400178,0.0013002451890928,0.00141169477672933,0.00185749312727543,0.000928746563637715
"UA",0.00121705287409978,0.00174132180448122,0.00181621736596429,0.00190983681781812,0.00187238903707659,0.00179749347559352,0.00183494125633505,0.00185366514670582,0.00228431462523343,0.00101109008002136
