country,num_staff,stud_per_staff
AT,60443.7142857143,14.2571428571429
BA,10122,7.90357636830666
BE,30214,21.4857142857143
BG,22672.5714285714,12.3
CH,34775,8.62688713156003
CY,3098.85714285714,18.7571428571429
CZ,17874,19.5142857142857
DE,404569.857142857,11.9428571428571
DK,27209.2,14.1
EE,4418.83333333333,13.6666666666667
EL,17501,40.65
ES,163019.714285714,12.4
EU27_2020,1311753,15.3
EU28,1473330.14285714,15.375
FI,15355.8571428571,14.8714285714286
FR,115860,16.25
HR,16838,12.5714285714286
HU,23239.8571428571,13.3142857142857
IE,9345.5,23.5407415333583
IT,93575.7142857143,19.8142857142857
LI,114.333333333333,10.7666666666667
LT,12560.4285714286,15.8
LU,989.166666666667,6.46
LV,6901.14285714286,17.9285714285714
MK,3849.57142857143,15.9142857142857
MT,1697.71428571429,9.54285714285714
NL,63385.8571428571,14.86
NO,30367.7142857143,9.66
PL,97196.5714285714,14.4857142857143
PT,33800.8571428571,14.2428571428571
RO,27107.8571428571,16.3857142857143
RS,11077.8,21.48
SE,34397.8571428571,10.4142857142857
SI,7101.14285714286,15.9428571428571
SK,12447.2857142857,12.8857142857143
TR,150890.666666667,23.1666666666667
UK,161577,15.5714285714286
