Country;High_flow_label;tot_out;out_ct;out_wt;out_pt;out_ut;tot_in;in_ct;in_wt;in_pt;in_ut
AT;0;104.8;22.8;76.9;10.6;17.3;123;20.8;85.7;18.4;18.9
BE;0;146.3;46.7;107.2;14.7;24.4;165.8;17;95.1;30.7;40
BG;0;9.6;0.6;5.4;1.3;2.9;5.5;2.7;4.4;0.2;0.9
CY;0;11.7;3.1;6.2;1.9;3.6;21.9;2;15.9;2.1;3.9
CZ;0;36.8;8.4;24.6;4.4;7.8;41.7;7.5;28.3;6.5;6.9
DE;1;611;158.5;445.5;66.9;98.6;625.7;91.1;409.7;94;122
DK;0;104.1;24.7;78.3;9.9;15.9;197.7;22.5;124.8;42;30.9
EE;0;7.7;1.2;5.5;0.9;1.3;8.1;1.7;4.9;2.4;0.8
ES;1;578.6;127.1;427.4;41.8;109.4;548.5;153.6;250.7;94.3;203.5
FI;0;61.3;13.6;46.4;6.4;8.5;80;9.5;46.5;13.7;19.8
FR;1;517.6;135;392.1;54.6;70.9;488.3;94.6;278.4;77.1;132.8
GB;1;1031.8;364.7;822.3;103.7;105.8;1301.3;119.6;626.6;278.4;396.3
GR;0;105.7;6.2;50;18.4;37.3;42.6;25.7;31.4;3.8;7.4
HR;0;11.6;0.7;6;2.9;2.7;6.4;2.6;4.8;0.9;0.7
HU;0;38.4;3.7;25.4;5.7;7.3;25.5;10.3;17;2.4;6.1
IE;0;102.4;20.6;70.5;9.5;22.4;108.8;17;64.7;23.7;20.4
IT;1;478.4;54.1;312;76.9;89.5;323.2;136.2;208.9;54.3;60
LT;0;7.6;0.8;3;1.2;3.4;4;1.9;2.3;0.6;1.1
LU;0;6.4;2;5.4;0.2;0.8;13.8;0.2;11.8;1;1
LV;0;5.1;0.4;2.5;0.8;1.8;2.7;1.3;1.5;0.3;0.9
MT;0;3.8;0.5;1.1;1;1.7;3.2;0.9;2.6;0.2;0.4
NL;1;259;67.2;194.1;34.1;30.8;273.8;29.3;138.9;54.7;80.2
PL;0;64.2;5.5;36.6;12.5;15.1;38.5;14;24.9;4.4;9.2
PT;1;275.9;32.7;163.5;40.3;72.1;306.7;136.1;194.3;39;73.4
RO;0;28.8;1.3;10.3;6.7;11.8;14.6;11.2;9.5;1.9;3.2
SE;1;186.1;49.2;138.5;26;21.6;297.9;35.5;178.4;42.6;76.9
SI;0;11.4;1.8;8.8;0.6;2;9;1.7;4.5;2.7;1.8
SK;0;8.9;1.2;5.5;1.8;1.6;6.6;2.6;4.7;1.2;0.7
